variance,skewness,curtosis,entropy,class
1.1420467685911297,0.7736721905698547,1.6321883490657556,2.3455808277861934,1.0
0.3244485158509871,2.571910480123373,0.7408135553472573,1.0095191210695262,1.0
2.2780899350100827,1.9501771471333096,0.749877070417658,2.6052563404678692,-1.0
2.055379385199908,1.9912254305680364,0.7009063365735829,2.3670052573504874,-1.0
1.8263558167979128,2.2694730556106237,0.9531734857575609,2.3939686161048033,-1.0
2.9622696748623882,2.5440609257309315,0.36293902927812116,2.3027319686576058,-1.0
1.586137839422567,1.473074967539518,0.912685113902974,2.6514302710648354,1.0
0.018980619175112734,2.674265561336799,0.7528199306997254,1.1358375577806026,1.0
2.004902945398452,2.0315299573572676,0.9146909850569509,2.3378223276933108,-1.0
1.0468665833845416,1.585697432159093,0.9272757657216273,2.7866327045685724,1.0
0.8674512415467958,2.089188805874727,0.6605278754671591,1.9211714478893582,1.0
1.4142916544772808,2.7917673056640453,0.8850150830529102,0.9489308342617031,-1.0
1.3676205748218815,2.8789757237636504,1.010505679768145,0.8277828265521427,-1.0
2.210918863014458,2.501300821445461,0.6652361771415964,1.6855027226821258,-1.0
1.2000969834405626,1.760613647820279,0.7602361584320315,2.1354157435322967,1.0
2.4924878048895516,1.1760209244608308,1.2716124008731415,2.8146844243447546,-1.0
2.791051559067422,2.072566435130955,0.5263213564225894,2.6883688442242866,-1.0
1.869729533414132,1.7525503813302246,0.3599851779212375,2.4733875482043364,1.0
2.740713663931478,1.9748509787060962,0.8170957362255142,2.6724862004406233,-1.0
1.4472121760806365,1.3910020119921436,1.0528900120285456,2.765208275004279,1.0
1.6117535935368144,2.344226501313439,0.8738316644273134,2.1187903861904047,-1.0
1.7647357677337934,1.8407386692961174,0.2709986884396767,2.349274399443078,1.0
2.657817772400267,1.883002935817924,0.8544131829955953,2.6791334867867715,-1.0
2.1231277266351647,0.8845745703759587,1.8333662347348145,2.3437326136624472,-1.0
2.453395118437646,1.782843707557866,0.8632390160730934,2.8420219964687936,-1.0
0.44345838352559985,0.9854775552815123,2.1495657183565715,2.138729388638241,1.0
2.6789458338908125,1.326743798953542,1.0857258480422758,2.90372435361396,-1.0
2.535021017201666,2.8626130775627496,0.21106985300373904,1.2097375568243736,-1.0
